,Feature Name,Correlation Value
9,destination_km2,0.6426488380128522
579,destination_language _eng,0.6066672378053776
725,population_in_thousands,0.5193272889315833
1197,age_gender_dest_US_-unknown-_30-34,0.29478584116309925
6,lat_destination,0.293752320058847
726,year,0.2819690455618962
1214,age_gender_dest_US_FEMALE_30-34,0.19872853741604102
1213,age_gender_dest_US_FEMALE_25-29,0.18844582455078326
1232,age_gender_dest_US_MALE_30-34,0.18623306605625592
1260,age_gender_dest_other_-unknown-_30-34,0.1783044519850258
1231,age_gender_dest_US_MALE_25-29,0.168812326324215
1233,age_gender_dest_US_MALE_35-39,0.12911594795520187
1215,age_gender_dest_US_FEMALE_35-39,0.12865889976924322
1212,age_gender_dest_US_FEMALE_20-24,0.12168391920172945
1276,age_gender_dest_other_FEMALE_30-34,0.11304263987087113
1294,age_gender_dest_other_MALE_30-34,0.11188148860929416
1196,age_gender_dest_US_-unknown-_25-29,0.1088089213863382
1234,age_gender_dest_US_MALE_40-44,0.10249382449976202
1275,age_gender_dest_other_FEMALE_25-29,0.0985544612620024
1216,age_gender_dest_US_FEMALE_40-44,0.09843007045638896
1293,age_gender_dest_other_MALE_25-29,0.0982896692303144
1230,age_gender_dest_US_MALE_20-24,0.0957774462365432
562,age_bucket_25-29,0.08667044390371496
1198,age_gender_dest_US_-unknown-_35-39,0.08490247285747586
1235,age_gender_dest_US_MALE_45-49,0.08256746697322498
1295,age_gender_dest_other_MALE_35-39,0.08028743627898463
1217,age_gender_dest_US_FEMALE_45-49,0.0788223042856525
1218,age_gender_dest_US_FEMALE_50-54,0.07096646263667318
1277,age_gender_dest_other_FEMALE_35-39,0.06887734533737487
1199,age_gender_dest_US_-unknown-_40-44,0.06812059865202899
621,gender_MALE,0.06639707242382425
1236,age_gender_dest_US_MALE_50-54,0.06547842685097408
1219,age_gender_dest_US_FEMALE_55-59,0.06529232137582155
1274,age_gender_dest_other_FEMALE_20-24,0.06489866458250984
1296,age_gender_dest_other_MALE_40-44,0.06459798320241772
279,action_requested,0.062225058024562574
1292,age_gender_dest_other_MALE_20-24,0.0606612674816067
1195,age_gender_dest_US_-unknown-_20-24,0.05872240750007554
461,action_detail_p5,0.05810283142027468
1259,age_gender_dest_other_-unknown-_25-29,0.05736389215810366
1200,age_gender_dest_US_-unknown-_45-49,0.054594858172153114
620,gender_FEMALE,0.05400716036472973
1237,age_gender_dest_US_MALE_55-59,0.05341438499257081
1220,age_gender_dest_US_FEMALE_60-64,0.05272807144536308
1278,age_gender_dest_other_FEMALE_40-44,0.05089577790399097
1261,age_gender_dest_other_-unknown-_35-39,0.050383777037485714
1297,age_gender_dest_other_MALE_45-49,0.04814729488133143
1238,age_gender_dest_US_MALE_60-64,0.04596593946437035
1201,age_gender_dest_US_-unknown-_50-54,0.04576762957474461
1193,age_gender_dest_US_-unknown-_100+,0.04489823212596599
